Step 500  T_E: 10637.6760000 E_E: 10054.7193750
Step 1000  T_E: 8377.4400000 E_E: 9881.4875000
Step 1500  T_E: 8124.5832000 E_E: 10118.7062500
Step 2000  T_E: 8177.6888000 E_E: 10204.3531250
Step 2500  T_E: 7979.2632000 E_E: 10127.3012500
Step 3000  T_E: 7770.8040000 E_E: 10109.8062500
Step 3500  T_E: 8361.8256000 E_E: 9704.1631250
Step 4000  T_E: 7889.6096000 E_E: 9565.0062500
Step 4500  T_E: 7787.4840000 E_E: 9799.0837500
Step 5000  T_E: 8100.1696000 E_E: 9754.1293750
Step 5500  T_E: 7905.4464000 E_E: 9505.3381250
Step 6000  T_E: 7646.6616000 E_E: 9613.4475000
Step 6500  T_E: 7973.0320000 E_E: 9637.8756250
Step 7000  T_E: 7908.6640000 E_E: 9523.9100000
Step 7500  T_E: 7713.6432000 E_E: 9492.6225000
Step 8000  T_E: 7673.9104000 E_E: 9689.2350000
Step 8500  T_E: 7988.2576000 E_E: 9505.2918750
Step 9000  T_E: 7656.6688000 E_E: 9652.1106250
Step 9500  T_E: 7647.8880000 E_E: 9635.4287500
Step 10000  T_E: 8058.5384000 E_E: 9499.4443750
Step 10500  T_E: 7707.4888000 E_E: 9522.6900000
Step 11000  T_E: 7609.7968000 E_E: 9548.6887500
Step 11500  T_E: 7896.8768000 E_E: 9558.5912500
Step 12000  T_E: 7792.6496000 E_E: 9495.8637500
Step 12500  T_E: 7610.0472000 E_E: 9494.0850000
Step 13000  T_E: 7784.0496000 E_E: 9648.2325000
Step 13500  T_E: 7820.7608000 E_E: 9530.7475000
Step 14000  T_E: 7706.6616000 E_E: 9473.8650000
Step 14500  T_E: 7559.3728000 E_E: 9800.9600000
Step 15000  T_E: 8016.5736000 E_E: 9442.0706250
Step 15500  T_E: 7633.3600000 E_E: 9500.9168750
Step 16000  T_E: 7631.5824000 E_E: 9510.8993750
Step 16500  T_E: 7929.3064000 E_E: 9527.8568750
Step 17000  T_E: 7710.0216000 E_E: 9474.8518750
Step 17500  T_E: 7564.9848000 E_E: 9549.9475000
Step 18000  T_E: 7875.5160000 E_E: 9490.6293750
Step 18500  T_E: 7779.9096000 E_E: 9493.5518750
Step 19000  T_E: 7636.4752000 E_E: 9447.0362500
Step 19500  T_E: 7670.0952000 E_E: 9616.5462500
Step 20000  T_E: 7822.6432000 E_E: 9590.3625000
Step 20500  T_E: 7684.1776000 E_E: 9567.3993750
Step 21000  T_E: 7516.5856000 E_E: 9675.6537500
Step 21500  T_E: 8062.1600000 E_E: 9489.5250000
Step 22000  T_E: 7652.1424000 E_E: 9440.5143750
Step 22500  T_E: 7587.0008000 E_E: 9508.3406250
Step 23000  T_E: 7874.1912000 E_E: 9559.9775000
Step 23500  T_E: 7751.2664000 E_E: 9466.2818750
Step 24000  T_E: 7529.6920000 E_E: 9527.2343750
Step 24500  T_E: 7841.4256000 E_E: 9542.0600000
Step 25000  T_E: 7813.1368000 E_E: 9471.4187500
Step 25500  T_E: 7642.0672000 E_E: 9483.1981250
Step 26000  T_E: 7587.9112000 E_E: 9605.7306250
Step 26500  T_E: 7907.1192000 E_E: 9509.6962500
Step 27000  T_E: 7605.1016000 E_E: 9578.3968750
Step 27500  T_E: 7600.1736000 E_E: 9538.2006250
Step 28000  T_E: 7991.3480000 E_E: 9473.9868750
Step 28500  T_E: 7668.5272000 E_E: 9466.6831250
Step 29000  T_E: 7573.9016000 E_E: 9501.8712500
Step 29500  T_E: 7842.8048000 E_E: 9524.9706250
Step 30000  T_E: 7761.2368000 E_E: 9470.3000000
Step 30500  T_E: 7583.1416000 E_E: 9471.6512500
Step 31000  T_E: 7742.1400000 E_E: 9570.2250000
Step 31500  T_E: 7789.7848000 E_E: 9489.2300000
Step 32000  T_E: 7684.4632000 E_E: 9456.5812500
Step 32500  T_E: 7532.6104000 E_E: 9675.0706250
Step 33000  T_E: 7985.0216000 E_E: 9451.8162500
Step 33500  T_E: 7615.2216000 E_E: 9495.8218750
Step 34000  T_E: 7612.8392000 E_E: 9489.8618750
Step 34500  T_E: 7898.9968000 E_E: 9488.7562500
Step 35000  T_E: 7695.2552000 E_E: 9469.0293750
Step 35500  T_E: 7548.6152000 E_E: 9515.2868750
Step 36000  T_E: 7849.6400000 E_E: 9488.6437500
Step 36500  T_E: 7765.5296000 E_E: 9482.5231250
Step 37000  T_E: 7626.0704000 E_E: 9448.0581250
Step 37500  T_E: 7649.2008000 E_E: 9567.0675000
Step 38000  T_E: 7805.8416000 E_E: 9532.9143750
Step 38500  T_E: 7674.2872000 E_E: 9510.1412500
Step 39000  T_E: 7503.2840000 E_E: 9626.0225000
Step 39500  T_E: 8043.1840000 E_E: 9477.6075000
Step 40000  T_E: 7643.9640000 E_E: 9453.3537500
Step 40500  T_E: 7575.9480000 E_E: 9494.0700000
Step 41000  T_E: 7856.7744000 E_E: 9524.9087500
Step 41500  T_E: 7742.7360000 E_E: 9464.6925000
Step 42000  T_E: 7522.0520000 E_E: 9508.1387500
Step 42500  T_E: 7825.1528000 E_E: 9517.0281250
Step 43000  T_E: 7803.6320000 E_E: 9465.4637500
Step 43500  T_E: 7635.8584000 E_E: 9478.2775000
Step 44000  T_E: 7575.7128000 E_E: 9571.3537500
Step 44500  T_E: 7895.8464000 E_E: 9506.2737500
Step 45000  T_E: 7600.0576000 E_E: 9545.0512500
Step 45500  T_E: 7592.5832000 E_E: 9534.7912500
Step 46000  T_E: 7977.5304000 E_E: 9476.9881250
Step 46500  T_E: 7663.2952000 E_E: 9467.4718750
Step 47000  T_E: 7567.5024000 E_E: 9494.2168750
Step 47500  T_E: 7829.8320000 E_E: 9513.6231250
Step 48000  T_E: 7756.2056000 E_E: 9466.7118750
Step 48500  T_E: 7579.9480000 E_E: 9473.0712500
Step 49000  T_E: 7731.6320000 E_E: 9541.9281250
Step 49500  T_E: 7783.3880000 E_E: 9480.9031250
Step 50000  T_E: 7681.9440000 E_E: 9455.6968750
Step 50500  T_E: 7525.1976000 E_E: 9624.5837500
Step 51000  T_E: 7976.8472000 E_E: 9460.0075000
Step 51500  T_E: 7612.5584000 E_E: 9495.8975000
Step 52000  T_E: 7608.4912000 E_E: 9487.5356250
Step 52500  T_E: 7889.9976000 E_E: 9485.0293750
Step 53000  T_E: 7692.8880000 E_E: 9464.3943750
Step 53500  T_E: 7545.7952000 E_E: 9499.5568750
Step 54000  T_E: 7840.6592000 E_E: 9489.1912500
Step 54500  T_E: 7763.4264000 E_E: 9475.4506250
Step 55000  T_E: 7624.4240000 E_E: 9452.2650000
Step 55500  T_E: 7642.2528000 E_E: 9544.5962500
Step 56000  T_E: 7802.0640000 E_E: 9508.9168750
Step 56500  T_E: 7672.3456000 E_E: 9494.1700000
Step 57000  T_E: 7500.2840000 E_E: 9598.8368750
Step 57500  T_E: 8036.4376000 E_E: 9475.2775000
Step 58000  T_E: 7642.7616000 E_E: 9455.6787500
Step 58500  T_E: 7573.5048000 E_E: 9488.1306250
